technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
COMBINED,lower,LSI,LSI,GLOBAL,SUM,PCA,0.9318566419182839,0.9456651237949167,24.3420245398773,(o (PCA) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,PCA,MAX,0.9694474849156538,0.9631901840490797,16.49079754601227,(o (MAX) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,MAX,PCA,0.9825630286655885,0.978647430981595,9.565950920245399,(o (PCA) ((. (VSM NT) (0 2)) (x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,PCA,PCA,0.9579239568196907,0.9510400690184049,21.9340490797546,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,MAX,PCA,0.9558290681566033,0.9603144171779141,17.779141104294478,(o (PCA) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,MAX,0.9680970843017285,0.9637071373794917,16.25920245398773,(o (MAX) ((. (LSI NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,PCA,0.9582205067006206,0.9628101719982471,16.661042944785276,(o (PCA) ((. (LSI NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,MAX,0.9330103291141938,0.9439636283961437,25.104294478527606,(o (MAX) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,SUM,0.9311914562392305,0.944994111524978,24.642638036809817,(o (SUM) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,PCA,0.9352069130683209,0.9468462423312883,23.812883435582823,(o (PCA) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,PCA,MAX,0.980365070682985,0.9745152278702892,11.417177914110429,(o (MAX) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,PCA,SUM,0.975301370016608,0.9719578494741454,12.562883435582823,(o (SUM) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,SUM,0.965207555320359,0.9673805872042068,14.613496932515337,(o (SUM) ((. (LSI NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,MAX,SUM,0.9820070227178899,0.9793115961875547,9.26840490797546,(o (SUM) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,MAX,SUM,0.9644373265345889,0.9667609279141104,14.891104294478527,(o (SUM) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,PCA,PCA,0.9555974597310095,0.9434261338737949,25.345092024539877,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,SUM,MAX,0.940934664492517,0.9472536426380368,23.630368098159508,(o (MAX) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,SUM,SUM,0.9403945110839051,0.9483799846625767,23.125766871165645,(o (SUM) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,SUM,PCA,0.9403122983940195,0.9490373028045574,22.83128834355828,(o (PCA) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,PCA,MAX,0.9627854371279073,0.9501157153812445,22.348159509202453,(o (MAX) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,PCA,SUM,0.9665039001074045,0.9572572031113058,19.14877300613497,(o (SUM) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,PCA,PCA,0.9555974597310095,0.9434261338737949,25.345092024539877,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,MAX,MAX,0.9680276415951594,0.9636010078878178,16.30674846625767,(o (MAX) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,MAX,MAX,0.9876438575658666,0.9829234224364592,7.6503067484662575,(o (MAX) ((. (LSI NT) (0 2)) (x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,MAX,PCA,0.9792264505571249,0.9768124178352322,10.38803680981595,(o (PCA) ((. (LSI NT) (0 2)) (x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,MAX,0.940934664492517,0.9472536426380368,23.630368098159508,(o (MAX) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,SUM,0.939912694873299,0.9480581726555652,23.26993865030675,(o (SUM) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,PCA,0.9404750781775745,0.9487565731814198,22.957055214723926,(o (PCA) ((. (LSI NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,INDEPENDENT,PCA,MAX,0.9627854371279073,0.9501157153812445,22.348159509202453,(o (MAX) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
