dataset,percent,iteration,metric,value
WARC,0.9,4,AP,0.8828473348402933
WARC,0.9,3,AP,0.8832274540299969
WARC,0.9,2,AP,0.8837615636867435
WARC,0.9,1,AP,0.8842092406055
WARC,0.9,0,AP,0.8749447579428538
WARC,0.8,99,AP,0.8767568852470201
WARC,0.8,98,AP,0.8772744125588569
WARC,0.8,97,AP,0.8727848105588278
WARC,0.8,96,AP,0.8799535376864511
WARC,0.9,10,AP,0.8830660555847563
WARC,0.8,95,AP,0.8784493148879067
WARC,0.9,27,AP,0.8807373279111052
WARC,0.9,29,AP,0.8823267360423562
WARC,0.9,59,AP,0.8840066135167658
WARC,0.9,58,AP,0.8837060232977247
WARC,0.9,57,AP,0.8831075305075258
WARC,0.9,56,AP,0.8825855403366217
WARC,0.9,55,AP,0.8827273846167606
WARC,0.9,54,AP,0.8831276120659521
WARC,0.9,53,AP,0.8736249205631661
WARC,0.9,52,AP,0.8821353083279025
WARC,0.9,51,AP,0.8838408759880668
WARC,0.9,50,AP,0.8829590256491889
WARC,0.9,49,AP,0.882436916433119
WARC,0.9,48,AP,0.8749648322986009
WARC,0.9,47,AP,0.8797490427772268
WARC,0.9,46,AP,0.8802539594381327
WARC,0.9,28,AP,0.8825529620191617
WARC,0.9,45,AP,0.8786090899528758
WARC,0.9,43,AP,0.8835615868902457
WARC,0.9,42,AP,0.8840256805988637
WARC,0.9,41,AP,0.8839184127748503
WARC,0.9,40,AP,0.8823915262756149
WARC,0.9,39,AP,0.8747353447830056
WARC,0.9,38,AP,0.8819895490003171
WARC,0.9,37,AP,0.8826516210484462
WARC,0.9,36,AP,0.8831594935819569
WARC,0.9,35,AP,0.8818550127392094
WARC,0.9,34,AP,0.8821144320101396
WARC,0.9,33,AP,0.8696903166512024
WARC,0.9,32,AP,0.8780827023031048
WARC,0.9,31,AP,0.8828357440454127
WARC,0.9,30,AP,0.881683840311433
WARC,0.9,44,AP,0.8832571063231933
WARC,0.8,94,AP,0.8744215390988779
WARC,0.8,93,AP,0.8803387225327597
WARC,0.8,92,AP,0.8687964466135963
WARC,0.8,56,AP,0.881755041533941
WARC,0.8,55,AP,0.8695572253462698
WARC,0.8,54,AP,0.8795716086362647
WARC,0.8,53,AP,0.8777744981580803
WARC,0.8,52,AP,0.8798204885884918
WARC,0.8,51,AP,0.8822075383214318
WARC,0.8,50,AP,0.8767199866809909
WARC,0.8,49,AP,0.8774720857372189
WARC,0.8,48,AP,0.8822137010941212
WARC,0.8,47,AP,0.8678713754641837
WARC,0.8,46,AP,0.8790819226162062
WARC,0.8,45,AP,0.8669388055384895
WARC,0.8,44,AP,0.8655676230393402
WARC,0.8,43,AP,0.8744096608181803
